trk_code,wager_dt,race_nbr,wager_typ,wager_winner,wager_payoff,wager_min,race_code
AQU,2019-11-24,1,Exacta,2-1,2170,100,24Nov19_01AQU00
AQU,2019-11-24,1,Win_w,"2  Queen Kahen",340,200,24Nov19_01AQU00
AQU,2019-11-01,3,Exacta,3-1,2950,100,01Nov19_03AQU00
AQU,2019-11-01,3,Win_w,"3  First Forever",1480,200,01Nov19_03AQU00
BEL,2019-10-14,2,Exacta,8-3,1070,100,14Oct19_02BEL00
BEL,2019-10-14,2,Win_w,"8  Vip Nation",1020,200,14Oct19_02BEL00
BEL,2019-09-20,1,Exacta,5-2,2600,100,20Sep19_01BEL00
BEL,2019-09-20,1,Win_w,"5  Trouble for Skylar",450,200,20Sep19_01BEL00
SAR,2019-08-29,3,Exacta,3-2,16950,100,29Aug19_03SAR00
SAR,2019-08-29,3,Win_w,"3  Blissful Breeze",7500,200,29Aug19_03SAR00
DEL,2019-08-19,6,Exacta,4-6,2580,100,19Aug19_06DEL00
DEL,2019-08-19,6,Win_w,"4  Ivanya",1300,200,19Aug19_06DEL00
SAR,2019-07-27,6,Exacta,11-6,16000,100,27Jul19_06SAR00
SAR,2019-07-27,6,Win_w,"11 New Girl in Town",4740,200,27Jul19_06SAR00
BEL,2019-07-06,4,Exacta,8-5,1190,100,06Jul19_04BEL00
BEL,2019-07-06,4,Win_w,"8  Bangle Gal",730,200,06Jul19_04BEL00
BEL,2019-05-31,1,Exacta,1-2,4525,100,31May19_01BEL00
BEL,2019-05-31,1,Win_w,"1  Reata's Reward",600,200,31May19_01BEL00
AQU,2019-04-20,4,Exacta,2-1,3925,100,20Apr19_04AQU00
AQU,2019-04-20,4,Win_w,"2  Malarkey",1160,200,20Apr19_04AQU00
AQU,2019-04-05,3,Exacta,4-2,1530,100,05Apr19_03AQU00
AQU,2019-04-05,3,Win_w,"4  Courageous Queen",940,200,05Apr19_03AQU00
AQU,2019-03-16,4,Exacta,3-6,1270,100,16Mar19_04AQU00
AQU,2019-03-16,4,Win_w,"3  Tequila Sunday",440,200,16Mar19_04AQU00
AQU,2019-02-21,3,Exacta,4-6,1360,100,21Feb19_03AQU00
AQU,2019-02-21,3,Win_w,"4  Sweet Like Char",650,200,21Feb19_03AQU00
AQU,2019-02-15,8,Exacta,6-7,870,100,15Feb19_08AQU00
AQU,2019-02-15,8,Win_w,"6  Magari",840,200,15Feb19_08AQU00
AQU,2018-12-31,4,Exacta,1-3,1080,100,31Dec18_04AQU00
AQU,2018-12-31,4,Win_w,"1  Mazmania",600,200,31Dec18_04AQU00
AQU,2018-12-14,9,Exacta,9-7,2850,100,14Dec18_09AQU00
AQU,2018-12-14,9,Win_w,"9  Two Hot Betty",1020,200,14Dec18_09AQU00
AQU,2018-12-07,3,Exacta,5-6,4375,100,07Dec18_03AQU00
AQU,2018-12-07,3,Win_w,"5  Princess Mikayah",1900,200,07Dec18_03AQU00
AQU,2018-11-25,1,Exacta,5-6,1120,100,25Nov18_01AQU00
AQU,2018-11-25,1,Win_w,"5  Tequila Sunday",340,200,25Nov18_01AQU00
AQU,2018-11-04,9,Exacta,12-2,3600,100,04Nov18_09AQU00
AQU,2018-11-04,9,Win_w,"12 Adorable Song",1620,200,04Nov18_09AQU00
BEL,2018-10-08,4,Exacta,8-6,2420,100,08Oct18_04BEL00
BEL,2018-10-08,4,Win_w,"8  Gentle Annie",1460,200,08Oct18_04BEL00
BEL,2018-09-19,9,Exacta,7-5,1120,100,19Sep18_09BEL00
BEL,2018-09-19,9,Win_w,"7  Party in the Sand",800,200,19Sep18_09BEL00
SAR,2018-08-13,5,Exacta,4-5,4750,100,13Aug18_05SAR00
SAR,2018-08-13,5,Win_w,"4  Lightworker",1380,200,13Aug18_05SAR00
SAR,2018-07-27,10,Exacta,1-10,2950,100,27Jul18_10SAR00
SAR,2018-07-27,10,Win_w,"1  Lady Vicki",940,200,27Jul18_10SAR00
BEL,2018-07-14,10,Exacta,1-3,5825,100,14Jul18_10BEL00
BEL,2018-07-14,10,Win_w,"1  Troffissio",1000,200,14Jul18_10BEL00
BEL,2018-06-23,5,Exacta,3-4,6050,100,23Jun18_05BEL00
BEL,2018-06-23,5,Win_w,"3  Little Nanny",2060,200,23Jun18_05BEL00
